userId,firstName,lastName,email,password,phoneNumber,role,accountStatus,createdDate
user_1,ep257,hcmo1,user1@prms.com,hashed_password_placeholder,555-123-0001,Tenant,Active,2026-01-01
user_2,8plfq,7g6yr,user2@prms.com,hashed_password_placeholder,555-123-0002,Administrator,Active,2026-01-01
user_3,91t8o,gl3yk,user3@prms.com,hashed_password_placeholder,555-123-0003,Landlord,Active,2026-01-01
user_4,uo413,xbz8r,user4@prms.com,hashed_password_placeholder,555-123-0004,Administrator,Active,2026-01-01
user_5,th8et,yw7ht,user5@prms.com,hashed_password_placeholder,555-123-0005,Administrator,Active,2026-01-01
user_6,w9vwf,y1wfr,user6@prms.com,hashed_password_placeholder,555-123-0006,Landlord,Active,2026-01-01
user_7,gfhe1,ac680,user7@prms.com,hashed_password_placeholder,555-123-0007,Landlord,Active,2026-01-01
user_8,urq4a,61vvc,user8@prms.com,hashed_password_placeholder,555-123-0008,Administrator,Active,2026-01-01
user_9,pmcfe,58emo,user9@prms.com,hashed_password_placeholder,555-123-0009,Administrator,Active,2026-01-01
user_10,xhaiw,2wbia,user10@prms.com,hashed_password_placeholder,555-123-0010,Landlord,Active,2026-01-01
user_11,60rt7,05qat,user11@prms.com,hashed_password_placeholder,555-123-0011,Administrator,Active,2026-01-01
user_12,lxmj2,yw23j,user12@prms.com,hashed_password_placeholder,555-123-0012,Tenant,Active,2026-01-01
user_13,as33w,fqhud,user13@prms.com,hashed_password_placeholder,555-123-0013,Administrator,Active,2026-01-01
user_14,tzzh8,0c6aa,user14@prms.com,hashed_password_placeholder,555-123-0014,Tenant,Active,2026-01-01
user_15,gus3k,2q3n8,user15@prms.com,hashed_password_placeholder,555-123-0015,Landlord,Active,2026-01-01
user_16,vwesz,ijsyz,user16@prms.com,hashed_password_placeholder,555-123-0016,Administrator,Active,2026-01-01
user_17,qrer6,p6ycq,user17@prms.com,hashed_password_placeholder,555-123-0017,Landlord,Active,2026-01-01
user_18,meqph,howrq,user18@prms.com,hashed_password_placeholder,555-123-0018,Administrator,Active,2026-01-01
user_19,hii6l,ohtx4,user19@prms.com,hashed_password_placeholder,555-123-0019,Tenant,Active,2026-01-01
user_20,8tk6k,82div,user20@prms.com,hashed_password_placeholder,555-123-0020,Tenant,Active,2026-01-01
user_21,0fhuq,k3c1d,user21@prms.com,hashed_password_placeholder,555-123-0021,Administrator,Active,2026-01-01
user_22,3okb0,jdupy,user22@prms.com,hashed_password_placeholder,555-123-0022,Tenant,Active,2026-01-01
user_23,zmw4g,p9xz2,user23@prms.com,hashed_password_placeholder,555-123-0023,Tenant,Active,2026-01-01
user_24,ahumm,mvhvm,user24@prms.com,hashed_password_placeholder,555-123-0024,Tenant,Active,2026-01-01
user_25,w2ksh,d9xfe,user25@prms.com,hashed_password_placeholder,555-123-0025,Tenant,Active,2026-01-01
user_26,h8nr5,x9izm,user26@prms.com,hashed_password_placeholder,555-123-0026,Tenant,Active,2026-01-01
